Script,Đối tượng ,Vui,Buồn,Tức,Ngạc nhiên,Chán,Emotion
"Ôi chao, thật là một ngày tuyệt vời và không thể quên đối với tôi. Sau bao nhiêu ngày mòn mỏi chờ đợi và căng thẳng, tôi cuối cùng cũng nhận được thư mời làm việc từ công ty mà tôi luôn mơ ước làm việc (bí mật nha, là Samsung đó!). Khi mở bức thư trúng tuyển và đọc thấy dòng chữ “Chúc mừng bạn đã được tuyển chọn”, cảm xúc của tôi thật khó diễn tả bằng lời.
Tôi nhớ lại những đêm dài thức khuya ngồi bên bàn học, những buổi sáng mệt mỏi khi ôn luyện phỏng vấn và cố gắng chuẩn bị tốt nhất cho từng câu hỏi. Mỗi phút giây đó đều là một thử thách, nhưng giờ đây tất cả nỗ lực và cống hiến của tôi đã được đền đáp xứng đáng. Cảm giác khi nhìn thấy tên mình trong danh sách được tuyển chọn là một niềm vui vỡ òa, và tôi không thể ngừng mỉm cười. Tôi nhắn tin khoe với cha, với mẹ và cả những người bạn. Họ đã chúc mừng tôi dữ lắm, làm tôi ngại thật sự à haha. 
Tôi cảm thấy tự hào về bản thân vì đã vượt qua những khó khăn và thử thách để đạt được điều mình mong mỏi. Đây là công việc đầu tiên của tôi, và nó không chỉ là một cơ hội nghề nghiệp mà còn là một bước ngoặt quan trọng trong cuộc đời. Tôi rất háo hức mong chờ ngày đầu tiên bước vào công ty, gặp gỡ đồng nghiệp và bắt tay vào những dự án mới.
Cảm giác ngay lúc này là một sự pha trộn giữa hồi hộp, phấn khởi và tự tin. Tôi biết rằng công việc mới sẽ có những thử thách riêng, nhưng tôi sẵn sàng đón nhận và làm việc hết mình để chứng minh rằng sự lựa chọn của họ là đúng đắn. Hôm nay, tôi chỉ muốn tận hưởng niềm vui này và cảm ơn mọi người đã luôn ủng hộ tôi trong hành trình này. À mà công ty có văn phòng đẹp lắm đó, tôi muốn được tới ngày vào làm quá đi !!! 


",Sinh viên đại học,1,0,0,0,0,Happy
"Bữa tối hôm nay thật sự là một bữa ăn đáng nhớ. Hihi, tôi đã quyết định thử sức với một công thức món ăn mới cho bữa tối và thật sự rất vui khi mọi người trong gia đình đều khen ngợi. Món đó có tên là “Cá hồi sốt chanh leo và rau củ nướng”, tôi tham khảo trên Youtube bữa giờ đó.  Khi bắt đầu chuẩn bị nguyên liệu và làm theo công thức, tôi cảm thấy hồi hộp lắm, bởi vì đây là một món ăn hoàn toàn mới (lại phong cách Nhật Bản nữa) mà tôi chưa từng thử trước đây.
Tôi đã dành khá nhiều thời gian để nghiên cứu và tìm hiểu công thức này. Khi món ăn hoàn thành và được bày ra bàn, tôi không khỏi lo lắng, không biết liệu nó có thực sự ngon như mình kỳ vọng không. Những sự lo lắng nhanh chóng biến mất khi chứng kiến từng thành viên trong gia đình thưởng thức món ăn với những nụ cười hài lòng trên môi và những lời khen ngợi chân thành.
Cảm giác khi thấy mọi người thích món ăn do mình làm không thể diễn tả hết bằng lời. Đây không chỉ là sự công nhận cho nỗ lực của tôi mà còn là niềm vui lớn khi biết rằng mình đã mang lại niềm vui cho những người mình yêu thương. Mỗi lời khen, mỗi cái gật đầu hài lòng từ gia đình khiến tôi cảm thấy tự hào và hào hứng hơn bao giờ hết.
Được, tôi quyết tâm rồi! Tôi sẽ tiếp tục khám phá thêm nhiều công thức mới và thử nghiệm những món ăn khác để mỗi bữa ăn của cả nhà không chỉ là ăn để “sống” mà còn là một trải nghiệm thú vị, hấp dẫn nữa! 


", đầu bếp,1,0,0,0,0,Happy
"Ôi trời ơi, hôm nay mình đã tìm thấy một chiếc túi hình con mèo cực kỳ dễ thương ở chợ trời! Mình chưa bao giờ thấy thứ gì đáng yêu như thế này. Nhìn là đã muốn mua ngay rồi<3. Vừa về đến nhà là mình đã chụp ảnh và khoe ngay với đám bạn. Ai cũng ghen tị muốn chết! Mình cảm thấy như vừa trúng số vậy, hihi! Túi mèo mới, dễ thương quá đi thôi!

",người mua đồ,1,0,0,0,0,Happy
"Sáng nay khi kiểm tra hòm thư, tôi đã bất ngờ nhận được một bức thư tay từ một người bạn cũ. Đó là một cảm giác tuyệt vời khi mở phong bì ra và nhìn thấy nét chữ quen thuộc của cô ấy. Chúng tôi từng rất thân thiết, nhưng đã không gặp nhau suốt nhiều năm. Trong thư, cô ấy kể về cuộc sống mới, những thay đổi trong thời gian qua, kể về gia đình mà cô ấy và chồng cùng nhau xây dựng và gửi lời chúc tốt lành. Điều này thật sự làm tôi cảm thấy ấm áp và đã làm tôi vui vẻ suốt cả ngày. Những mối quan hệ đôi khi mang lại niềm vui bất ngờ như vậy.

",người bình thường,1,0,0,0,0,Happy
"Hôm nay, con cún của mình đã học được một trò mới! Mình chỉ cần nói “đưa tay”, Kin sẽ nhấc một chân lên và đập nhẹ vào tay mình. Thật là ngầu quá đi! Cả nhà ai cũng khen Kin thông minh và đáng yêu. Có chú cún con thông minh và dễ thương như này thật là may mắn đi mà

",chơi với cún,1,0,0,0,0,Happy
"Hôm nay, tôi đã quyết định thử một món ăn mới tại một nhà hàng châu Á mà tôi chưa từng đến. Đó là một món lẩu đặc biệt với hương vị hoàn toàn khác biệt so với những gì tôi từng thử trước đây. Vị cay cay, chua chua nhưng lại đậm đà và thơm phức. Tôi cảm thấy như vừa mở ra một chân trời ẩm thực mới, tận hưởng hương vị lạ nhưng thật lôi cuốn này làm tôi cảm thấy thật hào hứng. Niềm vui nhỏ bé này thực sự làm tôi cảm thấy phấn khích và háo hức khám phá thêm nhiều món ăn độc đáo khác trong tương lai.

",thử món ăn mới,1,0,0,0,0,Happy
"Woa! Mình không thể tin được là mình đã trúng giải thưởng từ một chương trình mà mình gần như đã quên mất mình đã tham gia từ lâu luôn! Vài hôm sau, một chiếc hộp quà to đùng vừa được gửi đến tận cửa nhà, mình đã thật sự rất tò mò bên trong có những gì, khi mở ra, bên trong đầy những đồ ăn vặt mình thích và một voucher mua sắm! Hihi, mình cứ nghĩ đây chỉ là một trò đùa, nhưng hóa ra là thật! Mình sẽ dùng voucher này để mua một món đồ mình thích từ lâu. Niềm vui nhỏ này đúng là làm cho ngày hôm nay của mình trở nên thật tuyệt vời!

",trúng giải thưởng,1,0,0,0,0,Happy
"Hôm nay, tôi đã có một ngày dã ngoại thật tuyệt vời với nhóm bạn thân tại một khu rừng nhỏ gần thành phố. Thời tiết hoàn hảo, không quá nắng cũng không quá gió. Chúng tôi mang theo đồ ăn tự chuẩn bị, ngồi trên cỏ xanh và nói chuyện suốt cả buổi chiều. Không có gì gọi là quá đặc biệt hay cao sang, nhưng chính những khoảnh khắc giản dị này lại mang đến niềm vui và sự thư giãn tuyệt đối. Tôi cảm thấy thật sự may mắn khi có những người bạn tuyệt vời và những khoảnh khắc yên bình như thế trong cuộc sống.

",dã ngoại cùng bạn be,1,0,0,0,0,Happy
"Ôi trời ơi, đồng nghiệp của mình đã khiến mình cười đến mệt người suốt cả buổi chiều nay! Chả là mình đã làm xong một dự án quan trọng và đưa cho anh ấy xem thử. Ai dè, anh ấy lại tổ chức hẳn một ""lễ trao giải Oscar"" nhỏ ngay tại văn phòng! Mình còn được nhận một ""giải thưởng"" là một chiếc cúp nhựa nhỏ xíu với dòng chữ ""Dự án tuyệt vời nhất""! Đúng là chẳng có gì to tát, nhưng niềm vui bất ngờ này khiến mình cười suốt cả ngày, thật sự là một điều mình sẽ nhớ mãi.

",đồng nghiệp làm tiệc bất ngờ,1,0,0,0,0,Happy
"Hôm nay, tôi đã phát hiện ra con trai mình có năng khiếu đặc biệt về vẽ tranh. Trong lúc dọn dẹp phòng, tôi tình cờ thấy một bức tranh mà thằng bé vẽ dở dang. Tôi hoàn toàn bất ngờ trước sự tinh tế và sáng tạo trong từng nét vẽ. Đứa trẻ mà tôi vẫn nghĩ chỉ thích chơi game, hóa ra lại còn có tài năng hội họa. Niềm vui và tự hào về con khiến tôi muốn khuyến khích và hỗ trợ nó theo đuổi đam mê này. Thật tuyệt vời khi nhận ra con mình có tiềm năng phát triển trong một lĩnh vực mới.

",phát hiện năng khiếu con trai,1,0,0,0,0,Happy
"Woohoo! Mình vừa tham gia một lớp học nhảy salsa và đã có một khoảng thời gian tuyệt vời nhất luôn! Ban đầu, mình rất lo lắng vì mình chẳng biết nhảy gì cả, nhưng mọi người trong lớp đều siêu thân thiện và động viên mình rất nhiều. Mình đã nhảy theo nhạc, cười đùa với các bạn cùng lớp và cảm thấy như mình đang bay bổng trên sàn nhảy. Cảm giác vui vẻ này chắc sẽ kéo dài đến cả tuần sau mất!

",thử tập nhảy,1,0,0,0,0,Happy
"Hôm nay, khi đang lướt qua một playlist nhạc cũ trên máy tính, tôi vô tình tìm thấy một bài hát mà tôi rất yêu thích từ khi còn bé. Giai điệu quen thuộc và lời bài hát đã đưa tôi trở về những kỷ niệm ấm áp thời thơ ấu. Tôi đã ngồi lại, lắng nghe và mỉm cười nhớ về những ngày tháng vô tư lự, thời mà còn đi học, ngày mà tôi nghe những bài nhạc này khi đang học cho bài kiểm tra, khi đang chơi game, hay nghe cùng bạn bè. Từng giai điệu lại gợi cảm xúc thời gian đó trở lại với tôi. Niềm vui khi tìm lại được một phần ký ức tưởng chừng đã mất đi này thật sự đặc biệt, khiến tôi cảm thấy hạnh phúc và bình yên vô cùng.

",nghe lại bài hát yêu thích cũ,1,0,0,0,0,Happy
"Hôm nay, tôi thật sự bất ngờ khi nhận được lời mời tham gia giải bóng đá từ một đội nghiệp dư trong khu vực. Đã lâu rồi tôi không chơi bóng, nhưng cảm giác được mời và được coi trọng trong một đội hình thực sự làm tôi phấn khích. Chỉ nghĩ đến việc sẽ ra sân, chạy trên cỏ xanh, và cảm nhận không khí thi đấu đầy căng thẳng và phấn khích đã khiến tôi không thể chờ đợi thêm. Đây sẽ là một cơ hội tuyệt vời để trở lại với môn thể thao mình yêu thích sau một khoảng thời gian dài bận rộn.

",được mời vào đội bóng khu vực,1,0,0,0,0,Happy
"Tối nay, tôi và đám bạn quyết định chơi lại một trò điện tử kinh điển mà chúng tôi thường chơi hồi trung học. Ai cũng tưởng mình đã quên hết kỹ năng, nhưng không, tôi vẫn còn ""ngón nghề""! Tôi đã hạ gục từng đứa một và giành chiến thắng chung cuộc. Đám bạn trêu chọc tôi là ""huyền thoại sống lại"". Cảm giác thắng lợi khiến tôi vui tới mức vô thức nở nụ cười trên mặt suốt cả buổi tối. Đúng là không gì vui bằng cảm giác trở lại thời thanh niên với những cuộc thi đấu sôi nổi!

",chơi game cùng bạn,1,0,0,0,0,Happy
"Hôm nay là một ngày đặc biệt trong đời, tôi đã mua được chiếc xe mà mình mơ ước từ lâu. Đứng nhìn chiếc xe đỗ trước nhà, lòng tôi tràn ngập niềm vui và sự tự hào. Tôi đã làm việc chăm chỉ để có thể sở hữu nó, và giờ đây, niềm vui khi biết rằng mình đã đạt được một mục tiêu lớn trong đời thực sự không thể tả bằng lời. Ngày mai, tôi sẽ lái nó đi dạo khắp nơi, để cảm nhận sự tự do trên từng cung đường, cảm nhận công sức lâu nay của bản thân được đền đáp.

",đạt được mục tiêu mua xe,1,0,0,0,0,Happy
